施設名,住所,電話番号(代表),lat,lng
キッズハウスくれよん,〒273-0864千葉県船橋市北本町2-21-18,047-423-5729,35.7160114,139.9852784
あずかルンバ,〒273-0012千葉県船橋市浜町2-2-7　ビビット南船橋4Ｆ,047-402-6613,35.6875018,139.9932651
リトルガーデンインターナショナルスクール,〒273-0012千葉県船橋市浜町2-1-1　三井ビルディング1F,047-404-4321,35.6848031,139.9922475
西船橋北口駅前キッズルーム,〒273-0031千葉県船橋市西船4-21-1　デイジイファーストビル502号,047-435-6900,35.7091704,139.9584602
駅前保育園　りりぱっと,〒274-0825千葉県船橋市前原西2-14-1　ダイアパレス津田沼1302,047-476-3318,35.6918508,140.020578
E-Life International School,〒273-0047千葉県船橋市藤原2-18-30　ソレアードⅠ105,047-375-8866,35.731498,139.9691628
船橋インターナショナルスクール[FIS],〒273-0005千葉県船橋市本町6-5-8　ステイタスYUHARA102,050-5586-2086,35.7047,139.9864628
Kids Club カリン（休園）,〒273-0024千葉県船橋市海神町南1-741-1 アーティザン西船橋401,047-433-0640,35.7019546,139.961405
ICEモンテッソーリこどものいえ西船橋,〒273-0032千葉県船橋市葛飾町2-336-1 キュービル5F,047-401-4765,35.7072246,139.9580396
キッズルーム　森のくまさん,〒274-0812千葉県船橋市三咲3-1-14　増田ハイツ106,080-4435-5952,35.7505274,140.0316198
ファミリー保育室分園　ふれんど,〒274-0822千葉県船橋市飯山満町3-1513-2階,047-769-4619,35.7124121,140.0333325
グリーンベアベイサイド船橋夏見校,〒273-0865千葉県船橋市夏見1-9-27,047-411-0555,35.7066388,139.9886003
キッズステーション,〒273-0044千葉県船橋市行田3-2-13-103,047-779-3802,35.7190389,139.9706696
ナーサリーホーム船橋,〒273-0864千葉県船橋市北本町2-65-1,047-411-5178,35.7145757,139.9852471
カデナ・アメリカン・プリスクール,〒274-0825　千葉県船橋市前原西2-32-5　3階,047-474-0808,35.6943048,140.0229964
りりぱっとsteps,〒274-0825千葉県船橋市前原西2-11-6,047-411-8817,35.6934833,140.0209859
菅長学園,〒274-0072千葉県船橋市三山6-18-10,047-477-7799,35.7046731,140.0568955
ひまわりガーデン西船橋,〒273-0024千葉県船橋市海神町南1-1742-1,047-401-8721,35.7027148,139.9621862
Milky Way International Nursery Center下総中山校,〒273-0035千葉県船橋市本中山2丁目15番7号,047-314-8433,35.7150907,139.9437115
RuRi船橋保育園,〒274-0822　千葉県船橋市飯山満町2-627-2,047-440-8744,35.7065727,140.0252825
コンパス幼保園　船橋校,〒273-0047千葉県船橋市藤原7-17-28　日本都市馬込沢ビル4F,047-401-0000,35.74241689999999,139.9909158
ひまわりガーデン薬円台,〒274-0077千葉県船橋市薬円台5-4-8,047-402-6752,35.7096316,140.0388203
