都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考,待機児童（０歳）,待機児童数（1歳）,待機児童数（２歳）,待機児童数（３歳）,待機児童数（４歳）,待機児童数（５歳以上）,待機児童数（計）,緯度_bodik,経度_bodik
122041,1,千葉県,船橋市,家庭的保育者　清水,カテイテキホイクシャ　シミズ,家庭的保育事業所,千葉県船橋市山手2,,,,,,,,,,,,5,0歳～2歳,,,,,,,,0,0,0,,,,0,,
122041,2,千葉県,船橋市,家庭的保育者　桑原,カテイテキホイクシャ　クワハラ,家庭的保育事業所,千葉県船橋市松が丘5,,,,,,,,,,,,5,0歳～2歳,,,,,,,,0,0,0,,,,0,,
122041,3,千葉県,船橋市,家庭的保育者　片渕,カテイテキホイクシャ　カタフチ,家庭的保育事業所,千葉県船橋市新高根1,,,,,,,,,,,,3,0歳～2歳,,,,,,,,0,0,0,,,,0,,
122041,4,千葉県,船橋市,家庭的保育者　飯田,カテイテキホイクシャ　イイダ,家庭的保育事業所,千葉県船橋市田喜野井2,,,,,,,,,,,,5,0歳～2歳,,,,,,,,1,0,0,,,,1,,
122041,5,千葉県,船橋市,船橋旭こども園,フナバシアサヒコドモエン,認定こども園（保育所型）,千葉県船橋市夏見台5-7-13,,,,,,047-439-0010,,,,,,150,0歳～5歳,,,,,,,,6,1,0,1,0,0,8,35.730545 ,139.992825 
122041,6,千葉県,船橋市,田喜野井旭こども園,タキノイアサヒコドモエン,認定こども園（保育所型）,千葉県船橋市田喜野井4-30-12,,,,,,047-456-3180,,,,,,60,0歳～5歳,,,,,,,,10,3,0,0,0,0,13,35.703267 ,140.042440 
122041,7,千葉県,船橋市,認定こども園　不二幼稚園,ニンテイコドモエン　フジヨウチエン,認定こども園（保育所型）,千葉県船橋市飯山満町2-666,,,,,,047-466-2925,,,,,,318,0歳～5歳,,,,,,,,6,2,1,0,0,0,9,35.709871 ,140.021396 
122041,8,千葉県,船橋市,認定こども園おひさま,ニンテイコドモエンオヒサマ,認定こども園（保育所型）,千葉県船橋市前原西6-1-64,,,,,,047-476-7802,,,,,,79,0歳～5歳,,,,,,,,5,3,0,0,0,0,8,35.702927 ,140.023037 
122041,9,千葉県,船橋市,幼保連携型認定こども園　大浜幼稚園,ヨウホレンケイカタニンテイコドモエン　オオハマヨウチエン,認定こども園（幼保連携型）,千葉県船橋市薬円台4-6-3,,,,,,047-466-5720,,,,,,208,1歳～5歳,,,,,,,,,2,0,0,0,0,2,35.713386 ,140.046072 
122041,10,千葉県,船橋市,そらまめこども園　船橋駅前,ソラマメコドモエン　フナバシエキマエ,認定こども園（保育所型）,千葉県船橋市本町1-30-1,,,,,,047-405-9951,,,,,,111,0歳～5歳,,,,,,,,24,5,0,0,0,0,29,35.700362 ,139.983829 
122041,11,千葉県,船橋市,高根台文化こども園,タカネダイブンカコドモエン,認定こども園（保育所型）,千葉県船橋市高根台3-3-2,,,,,,047-466-2511,,,,,,210,1歳～5歳,,,,,,,,,2,3,1,0,0,6,35.731542 ,140.041850 
122041,12,千葉県,船橋市,幼保連携型認定こども園　二和ひつじ幼稚園,ヨウホレンケイカタニンテイコドモエン　フタワヒツジヨウチエン,認定こども園（幼保連携型）,千葉県船橋市二和東6-23-21,,,,,,047-447-2041,,,,,,144,3歳～5歳,,,,,,,,,,,0,0,0,0,35.755106 ,140.024883 
122041,13,千葉県,船橋市,モンテッソーリたんぽぽ子供の家,モンテッソーリタンポポコドモノイエ,認定こども園（保育所型）,千葉県船橋市前原西4-30-22,,,,,,047-478-9172,,,,,,41,3歳～5歳,,,,,,,,,,,0,0,0,0,35.698480 ,140.019320 
122041,14,千葉県,船橋市,小規模保育所　リトルキディ,ショウキボホイクジョ　リトルキディ,小規模保育所,千葉県船橋市坪井東3-10-1グランソシア船橋芽吹の杜内,,,,,,047-436-8011,,,,,,19,0歳～2歳,,,,,,,,2,0,0,,,,2,35.728485 ,140.061017 
122041,15,千葉県,船橋市,うみのほいくえん,ウミノホイクエン,小規模保育所,千葉県船橋市湊町2-2-20アソルティ船橋102/202,,,,,,047-468-8698,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.695792 ,139.983968 
122041,16,千葉県,船橋市,パルパステル保育園,パルパステルホイクエン,小規模保育所,千葉県船橋市本町5-14-15 パルパステル,,,,,,047-460-6666,,,,,,19,0歳～2歳,,,,,,,,1,0,0,,,,1,35.701869 ,139.988624 
122041,17,千葉県,船橋市,キッズランド未来,キッズランドミライ,小規模保育所,千葉県船橋市二和東6-18-27　1階,,,,,,047-448-7735,,,,,,19,0歳～2歳,,,,,,,,2,0,0,,,,2,35.755899 ,140.024276 
122041,18,千葉県,船橋市,保育ルームキューティー,ホイクルームキューティー,小規模保育所,千葉県船橋市前原東5-18-4,,,,,,047-427-7643,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.700653 ,140.031883 
122041,19,千葉県,船橋市,太陽の子　船橋三咲保育園,タイヨウノコ　フナバシミサキホイクエン,小規模保育所,千葉県船橋市南三咲1-20-10,,,,,,047-440-6585,,,,,,19,0歳～2歳,,,,,,,,2,0,0,,,,2,35.736036 ,140.023863 
122041,20,千葉県,船橋市,ひだまり滝台保育園,ヒダマリタキダイホイクエン,小規模保育所,千葉県船橋市滝台1-12-12,,,,,,047-436-8840,,,,,,18,0歳～2歳,,,,,,,,1,0,0,,,,1,35.707728 ,140.036775 
122041,21,千葉県,船橋市,京進のほいくえんHOPPA船橋駅園,キョウススムノホイクエンHOPPAフナバシエキエン,小規模保育所,千葉県船橋市本町4-7-17,,,,,,047-405-2613,,,,,,12,0歳～2歳,,,,,,,,1,0,0,,,,1,35.701015 ,139.990497 
122041,22,千葉県,船橋市,京進のほいくえんHOPPA津田沼園,キョウススムノホイクエンHOPPAツダヌマエン,小規模保育所,千葉県船橋市前原西2-7-9-2F,,,,,,047-409-9571,,,,,,19,0歳～2歳,,,,,,,,1,0,0,,,,1,35.692672 ,140.019084 
