施設名,住所,電話番号(代表),lat,lng
若松幼稚園,〒273-0013船橋市若松2-3-3,047-431-7751,35.6786083,139.9965109
まなびの森保育園　船橋競馬場駅前,〒273-0003船橋市宮本9-1-11,047-402-4402,35.6895785,139.9970893
弥生保育園,〒273-0035千葉県船橋市本中山3-4-18,047-332-7283（一時預かり専用）※予約システム対応,35.7109802,139.9453477
みそら保育園,〒273-0036千葉県船橋市東中山2-1-20,047-302-2505,35.7144269,139.9543249
さくら保育園,〒273-0034千葉県船橋市二子町474,047-302-8302（一時預かり専用）※予約システム対応,35.70966629999999,139.9502143
アリスなかよし保育園,〒273-0031千葉県船橋市西船2-29-28,047-436-1215（一時預かり専用）※予約システム対応,35.7138845,139.9703142
湊町保育園,〒273-0011千葉県船橋市湊町1-16-23,047-431-5085（一時預かり専用）,35.6928239,139.9851805
前原ひまわり保育園,〒274-0825千葉県船橋市前原西4-18-19,047-474-7788,35.69672610000001,140.0164377
田喜野井旭こども園,〒274-0073千葉県船橋市田喜野井4-30-12,047-456-3190（一時預かり専用）※予約システム対応,35.7032857,140.0425001
三山つくし保育園,〒274-0072千葉県船橋市三山9-31-7,047-473-4435,35.6934253,140.0625981
アンデルセン第二保育園,〒274-0063　船橋市習志野台5-43-3,047-468-4673（一時預かり専用）※予約システム対応,35.7188662,140.0543679
ひばり保育園,〒274-0064千葉県船橋市松が丘1-33-4,047-466-5915,35.7353628,140.0400935
まこと保育園,〒274-0056千葉県船橋市神保町275-34,047-457-1685,35.76504750000001,140.0555512
あすなろ保育園,〒274-0806千葉県船橋市二和西2-6-1,047-447-0023,35.7419776,140.0149078
ククルなかよし保育園,〒273-0865千葉県船橋市夏見2-11-43,047-424-0301（一時預かり専用）※予約システム対応,35.7090598,139.9879141
船橋旭こども園,〒273-0866千葉県船橋市夏見台5-7-13,047-439-5700（一時預かり専用）※予約システム対応,35.7305338,139.992806
ローゼンかみやま保育園,〒273-0046千葉県船橋市上山町2-288-1,047-401-6291（一時預かり専用）,35.732562,139.9744827
シーガル保育園,〒274-0822千葉県船橋市飯山満町2-1007-1,047-404-8600（一時預かり専用）※予約システム対応,35.713454,140.021494
ゆいまーる保育園,〒273-0864千葉県船橋市北本町1-12-8,047-424-7723（一時預かり専用）※予約システム対応,35.7129199,139.9816164
丸山旭保育園,〒273-0048千葉県船橋市丸山5-33-25,047-438-3385（一時預かり専用）※予約システム対応,35.7431081,139.9935858
あまねの杜保育園,〒273-0044千葉県船橋市行田2-9-10,047-401-5011,35.7227772,139.9721272
東船橋ちとせ保育園,〒273-0002千葉県船橋市東船橋1-16-25,047-423-5717,35.6973485,140.0046507
古和釜幼稚園,〒274-0064船橋市松が丘4-32-1,047-464-3030,35.7328232,140.049007
健伸幼稚園,〒273-0048船橋市丸山5-12-7,047-438-7018（一時預かり専用）,35.7463627,139.9940468
八木ケ谷幼稚園,〒274-0802船橋市八木が谷2-18-1,047-447-6729,35.7606818,140.0328772
英進幼稚園,〒274-0804船橋市みやぎ台3-10-10,047-448-2121（一時預かり専用）,35.7544783,140.0374044
