施設名,住所,電話番号(代表),lat,lng
宮本第一保育園,〒273-0003千葉県船橋市宮本6-26-27,047-442-5639,35.6979334,139.9956694
宮本第二保育園,〒273-0003千葉県船橋市宮本8-9-10,047-423-1304,35.691472,140.0001182
若松保育園,〒273-0013千葉県船橋市若松2-6-3,047-433-4041,35.6794751,139.9943675
湊町保育園,〒273-0011千葉県船橋市湊町1-16-23,047-431-4961,35.6928239,139.9851805
千鳥保育園,〒273-0004千葉県船橋市南本町13-1,047-431-5061,35.6980868,139.9770171
中央保育園,〒273-0005千葉県船橋市本町4-17-21,047-422-4762,35.6998991,139.9889845
本町保育園,〒273-0005千葉県船橋市本町6-7-18,047-424-7011,35.70517,139.9874208
海神第一保育園,〒273-0021千葉県船橋市海神2-13-25,047-422-2462,35.7043217,139.9815509
海神第二保育園,〒273-0005千葉県船橋市本町1-23-7,047-435-0783,35.7000989,139.9812819
西船保育園,〒273-0031千葉県船橋市西船6-1-24,047-333-8187,35.7139354,139.9581998
本中山保育園,〒273-0035千葉県船橋市本中山5-6-1,047-333-6451,35.7072309,139.9426067
若葉保育園,〒273-0047千葉県船橋市藤原7-41-1,047-439-0472,35.7440446,139.9880734
行田保育園,〒273-0044千葉県船橋市行田3-1-2,047-439-5000,35.7169455,139.9696164
夏見第一保育園,〒273-0865千葉県船橋市夏見4-10-26,047-422-5198,35.7129007,139.9920202
夏見第二保育園,〒273-0866千葉県船橋市夏見台4-1-1,047-439-6231,35.722853,139.9920667
高根保育園,〒274-0814千葉県船橋市新高根4-19-2,047-463-1418,35.7318855,140.0268915
金杉台保育園,〒273-0852千葉県船橋市金杉台1-1-6,047-447-0022,35.7352168,140.0113724
二和保育園,〒274-0805千葉県船橋市二和東5-50-1,047-447-0801,35.7515137,140.0253584
三山保育園,〒274-0072千葉県船橋市三山6-26-26,047-476-2701,35.701377,140.0580441
二宮保育園,〒274-0825千葉県船橋市前原西6-1-12,047-472-1097,35.7027062,140.0254386
習志野台第一保育園,〒274-0063千葉県船橋市習志野台2-50-3,047-465-4124,35.7233446,140.0461733
習志野台第二保育園,〒274-0063千葉県船橋市習志野台6-7-1,047-464-3818,35.7263674,140.0500546
高根台保育園,〒274-0065千葉県船橋市高根台2-2-2,047-466-2611,35.7330412,140.0322415
緑台保育園,〒274-0818千葉県船橋市緑台2-4-11,047-447-9122,35.7285377,140.0138886
芝山第一保育園,〒274-0816千葉県船橋市芝山3-10-4,047-462-7575,35.7178372,140.0194626
小室保育園,〒270-1471千葉県船橋市小室町3305,047-457-1717,35.7880929,140.0760014
浜町保育園,〒273-0012千葉県船橋市浜町1-1-1,047-431-3262,35.6912348,139.9894156
めぐみ保育園,〒274-0077　船橋市薬円台4-6-1,電話：047-466-0566 FAX：047-463-1881,35.7123211,140.047
中山あけぼの保育園,〒273-0035　船橋市本中山3-19-3,電話：047-334-9950 FAX：047-334-8861,35.7132486,139.9422791
ひばり保育園,〒274-0064　船橋市松が丘1-33-4,電話：047-466-5915 FAX：047-466-5918,35.7353628,140.0400935
杉の子保育園,〒274-0814　船橋市新高根3-8-1,電話：047-465-2336 FAX：047-461-7260,35.7295772,140.0228317
しらゆり保育園,〒273-0864　船橋市北本町2-47-7,電話：047-422-5051 FAX：047-422-0415,35.7206835,139.984086
あすなろ保育園,〒274-0806　船橋市二和西2-6-1,電話：047-447-0023 FAX：047-447-0023,35.7419776,140.0149078
たかね台ベビーホーム,〒274-0065　船橋市高根台1-9-23-201,電話：047-465-1100 FAX：047-465-1100,35.731805,140.0303964
まこと保育園,〒274-0056　船橋市神保町275-34,電話：047-457-1685 FAX：047-457-1687,35.76504750000001,140.0555512
三咲小鳩保育園,〒274-0812　船橋市三咲3-6-2,電話：047-447-7612 FAX：047-447-7667,35.7537096,140.0363527
てまり保育園,〒273-0047　船橋市藤原5-4-39,電話：047-438-0073 FAX：047-438-0039,35.7387913,139.9794495
みどり保育園,〒273-0001　船橋市市場4-12-3,電話：047-424-4152 FAX：047-423-2130,35.7031707,139.9993533
三山つくし保育園,〒274-0072　船橋市三山9-31-7,電話：047-473-4435 FAX：047-493-5272,35.6934253,140.0625981
アンデルセン保育園,〒274-0063　船橋市習志野台7-8-21,電話：047-462-8111 FAX：047-462-8112,35.7275016,140.0521695
やまびこ保育園,〒274-0807　船橋市咲が丘2-11-5,電話：047-449-0225 FAX：047-449-0226,35.7606839,140.0222744
弥生保育園,〒273-0035　船橋市本中山3-4-18,電話：047-332-7280 FAX：047-332-1033,35.7109802,139.9453477
かもめ保育園,〒274-0814　船橋市新高根6-43-3,電話：047-466-5553 FAX：047-465-5530,35.7272164,140.0257332
かもめ保育園 芝山分園,〒274-0816　船橋市芝山3-10-8(船橋市芝山出張所2F),電話：047-456-4353 FAX：047-456-4354,35.716145,140.0206
前原保育園,〒274-0825　船橋市前原西8-23-5,電話：047-465-2429 FAX：047-469-6423,35.703138,140.0269068
ベル・ナーサリー,〒273-0044　船橋市行田1-49-1,電話：047-430-0086 FAX：047-430-0034,35.7211473,139.9812273
アンデルセン第二保育園,〒274-0063　船橋市習志野台5-43-3,電話：047-468-4686 FAX：047-468-4685,35.7188662,140.0543679
西船みどり保育園,〒273-0031　船橋市西船1-21-50,電話：047-435-4152 FAX：047-435-8590,35.7058632,139.9634397
アリスなかよし保育園,〒273-0031　船橋市西船2-29-28,電話：047-436-1212 FAX：047-436-1211,35.7138845,139.9703142
ロータス保育園,〒273-0047　船橋市藤原5-23-2,電話：047-439-6663 FAX：047-439-6657,35.74046200000001,139.9819027
海神南保育園,〒273-0024　船橋市海神町南1-1627-2,電話：047-411-6543 FAX：047-436-6057,35.7001878,139.9676338
前原ひまわり保育園,〒274-0825　船橋市前原西4-18-19,電話：047-474-7788 FAX：047-411-5655,35.69672610000001,140.0164377
船橋あおぞら保育園,〒274-0812　船橋市三咲3-12-55,電話：047-407-9870 FAX：047-407-9875,35.7530616,140.0324236
船橋あおぞら保育園 分園,〒274-0805　船橋市二和東6-16-10　エバラビル2F,電話：047-440-8977 FAX：047-440-8978,35.755483,140.022931
プレスクール・ベル,〒273-0021　船橋市海神4-23-16,電話：047-410-0311 FAX：047-410-0312,35.7093011,139.97493
夏見台保育園,〒273-0866　船橋市夏見台2-16-1,電話：047-429-7231 FAX：047-439-5963,35.721378,139.9964988
みそら保育園,〒273-0036　船橋市東中山2-1-20,電話：047-302-2505 FAX：047-302-2506,35.7144269,139.9543249
さくら保育園,〒273-0034　船橋市二子町474,電話：047-302-8301 FAX：047-333-3779,35.70966629999999,139.9502143
印内保育園,〒273-0039　船橋市印内2-2-31,電話：047-433-8368 FAX：047-433-8378,35.7148556,139.9649146
ククルなかよし保育園,〒273-0865　船橋市夏見2-11-43,電話：047-424-0101 FAX：047-424-0007,35.7090598,139.9879141
なないろ保育園,〒273-0044　船橋市行田1-39-5,電話：047-407-1201 FAX：047-407-1203,35.7223285,139.9779741
まこと保育園 分園,〒274-0063　船橋市習志野台2-73-9,電話：047-465-0230 FAX：047-465-0230,35.7248649,140.0499336
