施設名,住所,電話番号(代表),lat,lng
小規模保育所 リトルキディ,〒274-0060　船橋市坪井東3-10-1　グランソシア船橋芽吹の杜内,電話：047-436-8011 FAX：047-436-8012,35.7283216,140.0610485
うみのほいくえん,〒273-0011　船橋市湊町2-2-20　アソルティ船橋102・202,電話：047-468-8698 FAX：047-468-8698,35.6957732,139.9839786
パルパステル保育園,〒273-0005　船橋市本町5-14-15　パルパステル101,電話：047-460-6666 FAX：047-466-2989,35.701909,139.9887355
キッズランド未来,〒274-0805　船橋市二和東6-18-27　山和ビル1F,電話：047-448-7735 FAX：047-401-9395,35.7558932,140.0242397
保育ルーム キューティー,〒274-0824　船橋市前原東5-18-4,電話：047-427-7643 FAX：047-427-7643,35.7006789,140.0319026
太陽の子 船橋三咲保育園,〒274-0813　船橋市南三咲1-20-10　1F,電話：047-440-6585 FAX：047-440-6586,35.735703,140.0240191
ひだまり滝台保育園,〒274-0074　船橋市滝台1-12-12,電話：047-436-8840 FAX：047-436-8840,35.7077146,140.0367543
京進のほいくえん HOPPA船橋駅園,〒273-0005　船橋市本町4-7-17,電話：047-405-2613 FAX：047-405-2614,35.7010301,139.9904967
京進のほいくえん HOPPA津田沼園,〒274-0825　船橋市前原西2-7-9　三真ビル2F,電話：047-409-9571 FAX：047-409-9572,35.6926794,140.0190821
リトル・清和,〒273-0042　船橋市前貝塚町646-8,電話：047-404-7516 FAX：047-439-1793,35.7262488,139.9753692
トレポンテ駅前保育園,〒273-0005　船橋市本町6-8-1,電話：047-409-8816 FAX：047-421-0023,35.7053588,139.9854622
りりぱっとナーサリー津田沼園,〒274-0825　船橋市前原西2-44-10,電話：047-405-2331 FAX：047-405-2433,35.6941807,140.0190391
りりぱっとナーサリー中山園,〒273-0035　船橋市本中山2-23-16,電話：047-303-3038 FAX：047-303-3038,35.7151091,139.9422169
ココファン・ナーサリー西船橋,〒273-0034　船橋市二子町610,電話：047-302-7761 FAX：047-333-3131,35.7087272,139.9488259
健伸むぎの子保育園,〒273-0048　船橋市丸山5-15-15,電話：047-404-8746 FAX：047-404-8747,35.745839,139.99476
すずらん保育園,〒274-0072　船橋市三山3-39-2,電話：047-409-9541 FAX：047-409-9545,35.6971347,140.0515459
クレヨンキッズ北習志野園,〒274-0063　船橋市習志野台1-34-25,電話：047-456-4440 FAX：047-456-4441,35.7231,140.0402846
東船橋色葉保育園,〒273-0002　船橋市東船橋4-31-9,電話：047-460-2727 FAX：047-460-2737,35.6989839,140.0045021
リップル保育園 西船橋,〒273-0032　船橋市葛飾町2-378-7,電話：047-401-5567 FAX：047-401-5568,35.707114,139.9562379
ひかり保育園,〒274-0063　船橋市習志野台4-3-9,電話：047-456-6370 FAX：047-456-6370,35.7154195,140.0441545
ミアヘルサ保育園ひびき新船橋第二,〒273-0045　船橋市山手1-3-17,電話：047-409-9055 FAX：047-409-9056,35.7114727,139.9800188
やきがやなかよし保育園,船橋市八木が谷2-18-1,電話：047-498-9367 FAX：047-498-9368,35.7606818,140.0328772
サンヴェルデ保育園,船橋市緑台2-4-17,電話：047-402-2270 FAX：047-402-2271,35.7286149,140.0145948
ひだまり保育園,船橋市薬円台6-1-1　薬園台駅2階,電話：047-404-8511 FAX：047-404-8512,35.7101927,140.037685
こりんご保育園,〒273-0002　船橋市東船橋1-38-3　清水ビル2階,電話：047-406-4380 FAX：047-413-0666,35.6991964,140.0040558
保育ルーム　サンライズ船橋,〒273-0005　船橋市本町1-25-18　ジーリオ船橋,電話：047-422-0805 FAX：047-422-0805,35.700848,139.982072
